time_cst,bvid,title,reply
2026-02-22 21:40:18,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4141165
2026-02-22 21:40:18,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1444444
2026-02-22 22:00:18,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4149724
2026-02-22 22:00:18,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1445185
2026-02-23 15:20:25,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4309944
2026-02-23 15:20:25,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1461144
2026-02-23 15:40:25,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4313953
2026-02-23 15:40:25,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1461593
2026-02-23 16:00:25,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4317702
2026-02-23 16:00:25,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1461963
2026-02-23 16:20:25,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4321748
2026-02-23 16:20:25,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1462366
2026-02-23 16:40:25,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4324811
2026-02-23 16:40:25,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1462740
2026-02-23 17:00:26,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4327817
2026-02-23 17:00:26,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1463084
2026-02-23 17:20:26,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4330935
2026-02-23 17:20:26,BV1HfKiz3Ezf,《崩坏：星穹铁道》白厄角色PV——「日冕」,1463424
2026-02-23 17:40:11,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4334099
2026-02-23 17:40:11,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4136091
2026-02-23 17:40:33,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4334159
2026-02-23 17:40:33,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4136097
2026-02-23 18:00:25,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4337112
2026-02-23 18:20:03,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4339716
2026-02-23 18:20:03,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4137200
2026-02-23 18:40:03,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4342174
2026-02-23 18:40:03,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4137776
2026-02-23 19:00:03,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4345070
2026-02-23 19:00:03,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4138261
2026-02-23 19:20:04,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4347348
2026-02-23 19:20:04,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4138792
2026-02-23 19:40:04,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4350509
2026-02-23 19:40:04,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4139208
2026-02-23 20:00:04,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4352915
2026-02-23 20:00:04,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4139673
2026-02-23 20:20:04,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4354924
2026-02-23 20:20:04,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4140295
2026-02-23 20:40:04,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4357954
2026-02-23 20:40:04,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4140766
2026-02-23 21:00:05,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4361262
2026-02-23 21:00:05,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4141218
2026-02-23 21:20:05,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4363304
2026-02-23 21:20:05,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4141628
2026-02-23 21:40:05,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4365982
2026-02-23 21:40:05,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4142195
2026-02-23 22:00:05,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4365654
2026-02-23 22:00:05,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4142739
2026-02-23 22:20:06,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4368381
2026-02-23 22:20:06,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4143263
2026-02-23 22:40:06,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4371147
2026-02-23 22:40:06,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4143754
2026-02-23 23:00:06,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4373978
2026-02-23 23:00:06,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4144228
2026-02-23 23:20:07,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4376790
2026-02-23 23:20:07,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4144697
2026-02-23 23:40:07,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4379306
2026-02-23 23:40:07,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4145190
2026-02-24 00:00:07,BV1fy4y1L7Rq,《明日方舟》夏日嘉年华限时活动宣传PV,4381818
2026-02-24 00:00:07,BV1h1kcBfEuJ,【TF家族】2026新年音乐会「荣耀」:《来自天堂的魔鬼》纯享版（DAY2）,4145545
